Data,Ativo,Close,Close_level_Smoothed,Close_level_filtered,Close_fittedvalues,Close_resid,Close_filled
2005-11-18,NASDAQ,2227.07,2225.953985411623,2224.3945320318944,0.0,2227.07,2227.07
2005-11-21,NASDAQ,2241.67,2241.300727487942,2240.2094528517214,2224.3945320318944,17.27546796810566,2241.67
2005-11-22,NASDAQ,2253.56,2253.0177862900864,2252.423274005754,2240.2094528517214,13.350547148278565,2253.56
2005-11-23,NASDAQ,2259.98,2259.405274193676,2259.3365532866624,2252.423274005754,7.55672599424588,2259.98
2005-11-24,NASDAQ,,2260.143620668285,2259.3365532866624,2259.3365532866624,,2260.143620668285
2005-11-25,NASDAQ,2263.01,2260.881967142894,2262.8397234330323,2259.3365532866624,3.673446713337853,2263.01
2005-11-28,NASDAQ,2239.37,2240.703280759349,2241.3618414336647,2262.8397234330323,-23.469723433032414,2239.37
2005-11-29,NASDAQ,2232.71,2233.6297855665,2233.44667724941,2241.3618414336647,-8.651841433664686,2232.71
2005-11-30,NASDAQ,2232.82,2235.5971211355827,2232.873360873136,2233.44667724941,-0.6266772494100223,2232.82
2005-12-01,NASDAQ,2267.17,2264.8615606239446,2264.249678693298,2232.873360873136,34.29663912686419,2267.17
2005-12-02,NASDAQ,2273.37,2271.4357008912343,2272.593414615916,2264.249678693298,9.120321306701953,2273.37
2005-12-05,NASDAQ,2257.64,2258.997071745475,2258.913266899537,2272.593414615916,-14.953414615916245,2257.64
2005-12-06,NASDAQ,2260.76,2259.897482077507,2260.6027526963244,2258.913266899537,1.8467331004630978,2260.76
2005-12-07,NASDAQ,2252.01,2252.3199614108285,2252.741663493935,2260.6027526963244,-8.592752696324169,2252.01
2005-12-08,NASDAQ,2246.46,2247.789138539914,2246.9948767760607,2252.741663493935,-6.281663493934957,2246.46
2005-12-09,NASDAQ,2256.73,2256.322791821041,2255.9010649050842,2246.9948767760607,9.735123223939354,2256.73
2005-12-12,NASDAQ,2260.95,2260.853881499377,2260.5200886988428,2255.9010649050842,5.048935094915578,2260.95
2005-12-13,NASDAQ,2265.0,2264.4401954290256,2264.6185404525227,2260.5200886988428,4.4799113011572445,2265.0
2005-12-14,NASDAQ,2262.59,2262.5240329443122,2262.7627280008555,2264.6185404525227,-2.0285404525225204,2262.59
2005-12-15,NASDAQ,2260.63,2259.959461734719,2260.811599456643,2262.7627280008555,-2.1327280008554226,2260.63
