Data,Ativo,Close,Close_level_Smoothed,Close_level_filtered,Close_fittedvalues,Close_resid,Close_filled
2005-11-18,T-BOND10,4.502,4.49974181368731,4.501999999197839,0.0,4.502,4.502
2005-11-21,T-BOND10,4.461,4.461515678567715,4.4631661243258,4.501999999197839,-0.04099999919783848,4.461
2005-11-22,T-BOND10,4.428,4.4320188540295025,4.429863107695406,4.4631661243258,-0.035166124325799686,4.428
2005-11-23,T-BOND10,4.474,4.4705524444475335,4.471661601056337,4.429863107695406,0.04413689230459461,4.474
2005-11-24,T-BOND10,,4.450726454473438,4.471661601056337,4.471661601056337,,4.450726454473438
2005-11-25,T-BOND10,4.431,4.430900464499343,4.432135714903404,4.471661601056337,-0.040661601056337204,4.431
2005-11-28,T-BOND10,4.404,4.409389556047778,4.405488671343052,4.432135714903404,-0.02813571490340383,4.404
2005-11-29,T-BOND10,4.482,4.479112051862357,4.477946399052963,4.405488671343052,0.07651132865694787,4.482
2005-11-30,T-BOND10,4.5,4.499947897718089,4.498831587022453,4.477946399052963,0.022053600947036678,4.5
2005-12-01,T-BOND10,4.521,4.519901765817843,4.519825503981513,4.498831587022453,0.022168412977547014,4.521
2005-12-02,T-BOND10,4.519,4.521264933495487,4.519043735695016,4.519825503981513,-0.0008255039815132648,4.519
2005-12-05,T-BOND10,4.567,4.5609684753695525,4.564459248414661,4.519043735695016,0.04795626430498423,4.567
2005-12-06,T-BOND10,4.494,4.498571486798818,4.4977329731518045,4.564459248414661,-0.07045924841466089,4.494
2005-12-07,T-BOND10,4.517,4.513559779011745,4.5159792213860115,4.4977329731518045,0.019267026848195812,4.517
2005-12-08,T-BOND10,4.464,4.470312648297759,4.466753890259286,4.5159792213860115,-0.051979221386011076,4.464
2005-12-09,T-BOND10,4.537,4.533924857336612,4.533278319062707,4.466753890259286,0.07024610974071432,4.537
2005-12-12,T-BOND10,4.547,4.545481621630966,4.546273017131334,4.533278319062707,0.013721680937292646,4.547
2005-12-13,T-BOND10,4.535,4.531335558465805,4.535597251194669,4.546273017131334,-0.011273017131333773,4.535
2005-12-14,T-BOND10,4.45,4.455158508552008,4.454534993599386,4.535597251194669,-0.08559725119466854,4.45
2005-12-15,T-BOND10,4.468,4.466303734801228,4.4672866159019105,4.454534993599386,0.013465006400614321,4.468
2005-12-16,T-BOND10,4.448,4.4487348983248385,4.449021816453779,4.4672866159019105,-0.019286615901910054,4.448
2005-12-19,T-BOND10,4.442,4.443606284410113,4.442372020038372,4.449021816453779,-0.007021816453779195,4.442
2005-12-20,T-BOND10,4.466,4.46566855511681,4.464748175479973,4.442372020038372,0.023627979961628576,4.466
2005-12-21,T-BOND10,4.486,4.482120188304744,4.484874065617429,4.464748175479973,0.02125182452002683,4.486
2005-12-22,T-BOND10,4.433,4.43289508859636,4.435748319043729,4.484874065617429,-0.051874065617429466,4.433
2005-12-23,T-BOND10,4.38,4.381894068102168,4.382953579309047,4.435748319043729,-0.05574831904372868,4.38
2005-12-26,T-BOND10,,4.362955481201264,4.382953579309047,4.382953579309047,,4.362955481201264
2005-12-27,T-BOND10,4.341,4.344016894520256,4.342171801005711,4.382953579309047,-0.04195357930904642,4.341
2005-12-28,T-BOND10,4.378,4.376147738225509,4.376104316407148,4.342171801005711,0.03582819899428902,4.378
2005-12-29,T-BOND10,4.376,4.376923838463805,4.376005526725183,4.376104316407148,-0.00010431640714791968,4.376
2005-12-30,T-BOND10,4.395,4.393338504717124,4.393993661437455,4.376005526725183,0.018994473274816848,4.395
2006-01-02,T-BOND10,,4.381627687259895,4.393993661437455,4.393993661437455,,4.381627687259895
2006-01-03,T-BOND10,4.37,4.369916869802665,4.370670164434609,4.393993661437455,-0.02399366143745496,4.37
2006-01-04,T-BOND10,4.356,4.3567988397971495,4.356776203962353,4.370670164434609,-0.014670164434608779,4.356
2006-01-05,T-BOND10,4.356,4.357203421582129,4.356041123597931,4.356776203962353,-0.0007762039623528949,4.356
2006-01-06,T-BOND10,4.379,4.377979300507684,4.377783624987026,4.356041123597931,0.022958876402068285,4.379
2006-01-09,T-BOND10,4.379,4.381476967908744,4.378935555711129,4.377783624987026,0.0012163750129738915,4.379
2006-01-10,T-BOND10,4.428,4.426904289490583,4.425400536375854,4.378935555711129,0.04906444428887102,4.428
2006-01-11,T-BOND10,4.458,4.453783626732078,4.4562728609059805,4.425400536375854,0.03259946362414645,4.458
2006-01-12,T-BOND10,4.41,4.409288979187886,4.412451563865721,4.4562728609059805,-0.04627286090598037,4.41
