Data,Close_filled,Close_filled_std
2005-11-30,31916.0,-1.4901005548368993
2005-12-31,33509.06876523941,-1.4375340962179053
2006-01-31,38382.0,-1.2767420803963219
2006-02-28,38975.487149123794,-1.257158796644831
2006-03-31,37951.0,-1.2909637788936756
2006-04-30,40363.0,-1.2113750624769306
2006-05-31,36530.0,-1.3378524878605889
2006-06-30,36630.0,-1.3345527898333605
2006-07-31,37077.0,-1.3198031396516503
2006-08-31,36232.0,-1.3476855879817289
2006-09-30,36449.0,-1.3405252432626436
2006-10-31,39262.0,-1.2477047377567134
2006-11-30,41931.0,-1.159635797409992
2006-12-31,44758.38604374568,-1.0663405959023895
2007-01-31,44641.0,-1.070213980872107
2007-02-28,43892.0,-1.0949287190960464
2007-03-31,45804.0,-1.0318384928154427
2007-04-30,48956.0,-0.9278320109972088
2007-05-31,52268.0,-0.8185460123354098
2007-06-30,54392.0,-0.7484604262370822
2007-07-31,54182.0,-0.7553897920942615
2007-08-31,54637.0,-0.740376166070373
2007-09-30,60465.0,-0.5480697650435117
2007-10-31,65317.0,-0.3879684167623979
2007-11-30,63006.0,-0.46422443817164233
2007-12-31,63514.828979869686,-0.4474346183609168
2008-01-31,59490.0,-0.5802418208089869
2008-02-29,63489.0,-0.44828689670013
2008-03-31,60968.0,-0.5314722839665537
2008-04-30,67868.0,-0.30379312008780573
2008-05-31,72592.0,-0.14791538528154413
2008-06-30,65017.0,-0.3978675108440826
2008-07-31,59505.0,-0.5797468661049027
2008-08-31,55680.0,-0.7059603156463825
2008-09-30,49541.0,-0.9085287775379236
2008-10-31,37256.0,-1.3138966801829117
2008-11-30,36595.0,-1.3357076841428903
2008-12-31,38479.28241201399,-1.2735320545662563
2009-01-31,39300.0,-1.2464508525063667
2009-02-28,38183.0,-1.283308479470506
2009-03-31,40925.0,-1.192830759563908
2009-04-30,47289.0,-0.9828379771111034
2009-05-31,53197.0,-0.7878918176624595
2009-06-30,51465.0,-0.8450425874940525
2009-07-31,54765.0,-0.7361525525955208
2009-08-31,56488.0,-0.6792987555863784
2009-09-30,61517.0,-0.5133569417970707
2009-10-31,61545.0,-0.5124330263494468
2009-11-30,67044.0,-0.33098263183216636
2009-12-31,69076.03389617846,-0.26393164944735686
2010-01-31,65401.0,-0.3851966704195262
2010-02-28,66503.0,-0.34883399815947114
2010-03-31,70371.0,-0.22120167846628314
2010-04-30,67529.0,-0.31497909640010946
2010-05-31,63046.0,-0.46290455896075106
2010-06-30,60935.0,-0.532561184315539
2010-07-31,67515.0,-0.3154410541239214
2010-08-31,65145.0,-0.3936438973692305
2010-09-30,69429.0,-0.25228483388277306
2010-10-31,70673.0,-0.21123659042405388
2010-11-30,67705.0,-0.30917162787218777
2010-12-31,69632.59017639639,-0.24556697284859086
2011-01-31,66574.0,-0.3464912125601391
2011-02-28,67383.0,-0.3197966555198627
2011-03-31,68586.0,-0.28010128825230707
2011-04-30,66132.0,-0.36107587784048784
2011-05-31,64620.0,-0.4109673120121787
2011-06-30,62403.0,-0.4841216172758286
2011-07-31,58823.0,-0.6022508066505993
2011-08-31,56495.0,-0.6790677767244725
2011-09-30,52324.0,-0.8166981814401619
2011-10-31,58338.0,-0.6182543420826562
2011-11-30,56874.0,-0.6665619212012774
2011-12-31,57339.95897234856,-0.651186682182999
2012-01-31,63072.0,-0.4620466374736717
2012-02-29,65811.0,-0.37166790850789044
2012-03-31,64510.0,-0.41459697984212973
2012-04-30,61820.0,-0.5033588567745692
2012-05-31,54490.0,-0.7452267221703985
2012-06-30,54354.0,-0.7497143114874288
2012-07-31,56097.0,-0.6922005748728408
2012-08-31,57061.0,-0.6603914858903607
2012-09-30,59175.0,-0.5906358695947559
2012-10-31,57068.0,-0.6601605070284547
2012-11-30,57474.0,-0.6467637330379081
2012-12-31,61491.56299812671,-0.5141962860460696
2013-01-31,59761.0,-0.5712996391551984
2013-02-28,57424.0,-0.6484135820515222
2013-03-31,56078.75501807629,-0.6928026041814456
2013-04-30,55910.0,-0.6983710101837576
2013-05-31,53506.0,-0.7776957507583243
2013-06-30,47457.0,-0.9772944844253599
2013-07-31,48234.0,-0.9516558307537966
2013-08-31,50011.0,-0.8930201968099509
2013-09-30,52338.0,-0.8162362237163501
2013-10-31,54256.0,-0.7529480155541125
2013-11-30,52482.0,-0.8114846585571414
2013-12-31,51112.76817420774,-0.8566651741009896
2014-01-31,47638.0,-0.9713220309960768
2014-02-28,47094.0,-0.9892723882641985
2014-03-31,50414.0,-0.8797224137602212
2014-04-30,51626.0,-0.839730073670215
2014-05-31,51239.0,-0.8524999050355883
2014-06-30,53168.0,-0.7888487300903557
2014-07-31,55829.0,-0.7010437655858125
2014-08-31,61288.0,-0.5209132502794234
2014-09-30,54115.0,-0.7576005897725043
2014-10-31,54628.0,-0.7406731388928235
2014-11-30,54724.0,-0.7375054287866845
2014-12-31,49499.095621320834,-0.9099114954945223
2015-01-31,46907.0,-0.9954428235751153
2015-02-28,51583.0,-0.8411489438219232
2015-03-31,51150.0,-0.8554366362798214
2015-04-30,56229.0,-0.6878449734768995
2015-05-31,52760.0,-0.8023114980414469
2015-06-30,53080.0,-0.7917524643543166
2015-07-31,50864.0,-0.8648737726376942
2015-08-31,46625.0,-1.0047479720118988
2015-09-30,45059.0,-1.0564212431182929
2015-10-31,45868.0,-1.0297266860780165
2015-11-30,45120.0,-1.0544084273216838
2015-12-31,42956.95330165988,-1.1257824365548381
2016-01-31,40405.0,-1.2099891893054948
2016-02-29,42793.0,-1.1311924004152847
2016-03-31,50055.0,-0.8915683296779705
2016-04-30,53910.0,-0.7643649707283222
2016-05-31,48471.0,-0.9438355464292657
2016-06-30,51526.0,-0.8430297716974433
2016-07-31,57308.0,-0.6522412317631069
2016-08-31,57901.0,-0.6326740224616435
2016-09-30,58367.0,-0.61729742965476
2016-10-31,64924.0,-0.40093623000940487
2016-11-30,61906.0,-0.5005211164711529
2016-12-31,59969.212214406965,-0.5644292648239636
2017-01-31,64670.0,-0.4093174629985646
2017-02-28,66847.2100226667,-0.33747610683201634
2017-03-31,64984.0,-0.39895641119306796
2017-04-30,65403.0,-0.38513067645898164
2017-05-31,62711.0,-0.47395854735196563
2017-06-30,62899.0,-0.46775511506077655
2017-07-31,65920.0,-0.3680712376582117
2017-08-31,70835.05,-0.20588942977093044
2017-09-30,74293.51,-0.09177069337845324
2017-10-31,74308.49,-0.0912763986139741
2017-11-30,71970.99,-0.168406840000434
2017-12-31,76897.43238815546,-0.005849117705933138
2018-01-31,84912.7,0.2586305095591644
2018-02-28,85353.6,0.27317887816121394
2018-03-31,84959.3146409409,0.26016865194669075
2018-04-30,86115.5,0.29831927743066566
2018-05-31,77014.80437412896,-0.0019761966002469875
2018-06-30,72762.52,-0.1422887402055144
2018-07-31,79220.44,0.0708031186344629
2018-08-31,76677.53,-0.01310523246972663
2018-09-30,79342.43,0.07482842025787831
2018-10-31,87423.55,0.3414809774758246
2018-11-30,89504.03,0.4101305349927024
2018-12-31,88851.19781082458,0.3885890441253703
2019-01-31,97393.75,0.6704674701865336
2019-02-28,95584.35,0.6107627340818662
2019-03-31,95414.56,0.6051601768014351
2019-04-30,96353.33,0.6361367519716458
2019-05-31,97030.32,0.6584753776461783
2019-06-30,100967.2,0.7883805293405207
2019-07-31,101812.13,0.8162606678819805
2019-08-31,101134.61,0.7939045538079036
2019-09-30,104745.32,0.9130470804468364
2019-10-31,107219.83,0.9946984381004015
