Data,Close_filled,Close_filled_std
2013-05-31,2.1319,-0.8439511333490765
2013-06-30,2.2156,-0.7858811230266671
2013-07-31,2.2903,-0.7340551998356997
2013-08-31,2.3725,-0.6770258707018637
2013-09-30,2.23,-0.77589058361636
2013-10-31,2.2026,-0.7949003599943053
2013-11-30,2.3249,-0.7100501537526008
2013-12-31,2.3426,-0.6977701157274318
2014-01-31,2.4263,-0.6397001054050224
2014-02-28,2.3334,-0.7041529603506833
2014-03-31,2.263,-0.7529955974677399
2014-04-30,2.236,-0.7717278588620653
2014-05-31,2.239,-0.7696464964849182
2014-06-30,2.2025,-0.79496973874021
2014-07-31,2.2674,-0.7499429326479239
2014-08-31,2.2396,-0.7692302240094888
2014-09-30,2.451,-0.6225635551665096
2014-10-31,2.4442,-0.6272813098880436
2014-11-30,2.5601,-0.5468713433842535
2014-12-31,2.6562,-0.4801983685696351
2015-01-31,2.6623,-0.4759662650694356
2015-02-28,2.8782,-0.3261775526607357
2015-03-31,3.208,-0.09736644866634368
2015-04-30,2.9936,-0.2461144798864702
2015-05-31,3.1788,-0.11762504247057752
2015-06-30,3.1026,-0.1704916468501187
2015-07-31,3.394,0.0316780187167882
2015-08-31,3.6467,0.2069981096184948
2015-09-30,3.9729,0.43331157876031007
2015-10-31,3.8589,0.35421980842871315
2015-11-30,3.8506,0.34846137251860554
2015-12-31,3.9048,0.3860646527990664
2016-01-31,4.0428,0.4818073221478416
2016-02-29,3.9796,0.43795995473593896
2016-03-31,3.5589,0.14608357071398406
2016-04-30,3.4508,0.07108514639077684
2016-05-31,3.5951,0.17119867673156136
2016-06-30,3.2098,-0.09611763124005544
2016-07-31,3.239,-0.07585903743582191
2016-08-31,3.2403,-0.07495711373905803
2016-09-30,3.2462,-0.07086376773066834
2016-10-31,3.1811,-0.11602933131476463
2016-11-30,3.3967,0.033551244856220706
2016-12-31,3.2591,-0.06191390950893491
2017-01-31,3.127,-0.15356323284932077
2017-02-28,3.098166666645911,-0.17356743793296964
2017-03-31,3.1684,-0.12484043204468795
2017-04-30,3.1984,-0.1040268082732152
2017-05-31,3.2437,-0.07259823637829105
2017-06-30,3.3082,-0.02784894526962449
2017-07-31,3.1307,-0.15099621925083892
2017-08-31,3.1471,-0.13961810492243376
2017-09-30,3.168,-0.12511794702830756
2017-10-31,3.2769,-0.04956449273786112
2017-11-30,3.2616,-0.0601794408613122
2017-12-31,3.308,-0.02798770276143429
2018-01-31,3.1624,-0.1290031567989827
2018-02-28,3.2449,-0.07176569142743222
2018-03-31,3.3171000002175224,-0.021674236733173098
2018-04-30,3.4811,0.09210690639996445
2018-05-31,3.739149999913974,0.27113876014790006
2018-06-30,3.8558,0.35206906730566073
2018-07-31,3.7549,0.28206591268760706
2018-08-31,4.1353,0.5459826621098832
2018-09-30,4.0039,0.4548189899908318
2018-10-31,3.7177,0.25625701921098043
2018-11-30,3.8633,0.3572724732485291
2018-12-31,3.8748,0.36525102902759365
2019-01-31,3.6519,0.21060580440555
